scope,segment,n,positives,prevalence,low_support,pr_auc_baseline,pr_auc_engineered,roc_auc_baseline,roc_auc_engineered,lift_over_prevalence_baseline,lift_over_prevalence_engineered,delta_pr_auc,pr_auc_seed_std
acquisition_channel,organic,1457,137,0.09402882635552505,False,0.11344329548791328,0.3837337963507961,0.5762939615129397,0.7895856373958563,1.2064735877802164,4.081022929073795,0.2702905008628828,0.004883753947987911
acquisition_channel,paid_search,1175,162,0.13787234042553193,False,0.19190286702234802,0.4592260829353079,0.6022895770619803,0.7523003424615796,1.3918880787114747,3.330806465734486,0.26732321591295993,0.008627603055080365
acquisition_channel,partner,497,34,0.06841046277665996,False,0.13142397523851113,0.3617717604237318,0.5460974886714945,0.774573328251387,1.9211092851041185,5.288251909723374,0.2303477851852207,0.00779449533684976
acquisition_channel,referral,705,69,0.09787234042553192,False,0.14665088646561766,0.40076241297424925,0.5882478048187646,0.8045149333090268,1.4983894921487022,4.094746393432547,0.25411152650863156,0.02246536270161499
acquisition_channel,social,966,104,0.10766045548654245,False,0.13236102298951033,0.5099580204814566,0.5883715569040394,0.839044559462193,1.2294302712294902,4.73672545947199,0.3775969974919462,0.004922329886529978
country,AE,505,58,0.11485148514851486,False,0.16307783846553967,0.45006886865446577,0.5621512509964258,0.8254004988557174,1.4199018693982333,3.918703080525952,0.28699103018892613,0.007063160372589699
country,CA,318,25,0.07861635220125786,True,0.13673063078594352,0.45385850095349073,0.589806598407281,0.7328327645051195,1.7392136235972018,5.773080132128403,0.3171278701675472,0.006732740542156639
country,DE,391,29,0.0741687979539642,True,0.11395982152647312,0.36329940843891056,0.5907791960373404,0.7978027560805233,1.5364927660983099,4.898278231021173,0.24933958691243746,0.010817461068311742
country,IN,466,47,0.10085836909871244,False,0.15135948627191487,0.5080371133263897,0.6043941163526804,0.8054469439225445,1.5007132043130282,5.037133932129736,0.3566776270544748,0.005827409684794215
country,NZ,89,11,0.12359550561797752,True,0.2032039381812826,0.5033951783830422,0.5326340326340326,0.8076923076923076,1.6441045907394685,4.0729246250991595,0.3001912402017596,0.019227083095893802
country,PK,1452,177,0.12190082644628099,False,0.15452456269771456,0.4218241605918956,0.5686968723459251,0.7988611941951923,1.2676252261982008,3.46038802926233,0.267299597894181,0.013295325725871174
country,SE,158,22,0.13924050632911392,True,0.20541330893255383,0.539579252446468,0.5978163992869875,0.8341131907308378,1.4752410368792503,3.8751600857519066,0.33416594351391415,0.02282414896650185
country,UK,479,47,0.09812108559498957,False,0.13629212052750292,0.4328716725840513,0.5954491725768322,0.7677140793275546,1.38901969643987,4.411607046122565,0.2965795520565484,0.006817161126998101
country,US,942,90,0.09554140127388536,False,0.1819079466228889,0.3960290792371178,0.6400104329681794,0.77320466005912,1.9039698413195703,4.145104362681832,0.21412113261422888,0.007231861427132693
device,android,2038,218,0.1069676153091266,False,0.16638927048187327,0.3831347429309661,0.615934065934066,0.7879490540040998,1.5555107029452189,3.5817825967582975,0.21674547244909284,0.009659065202533103
device,ios,1610,175,0.10869565217391304,False,0.16541560579189385,0.4876002045893679,0.6264303965488635,0.7976864111498257,1.5218235732854235,4.485921882222185,0.3221845987974741,0.01183287586909498
device,missing,233,17,0.07296137339055794,True,0.08409584146690764,0.35981412363617754,0.5716230936819172,0.8589324618736383,1.1526077095170282,4.9315700474840805,0.2757182821692699,0.031418973341729474
device,web,919,96,0.1044613710554951,False,0.11350465886863122,0.4618552108431075,0.5302669771837452,0.8013618874038073,1.0865706406278342,4.421301445466831,0.3483505519744763,0.0029942025853045584
overall,all,4800,506,0.10541666666666667,False,0.14903620683656849,0.43040816584221986,0.602847340990554,0.7968618159481041,1.4137821992401753,4.082923312337264,0.2813719590056514,0.007453438758532049
plan,basic,2397,311,0.12974551522736755,False,0.16870294036701958,0.39735545203141415,0.5803879073371294,0.7568123734096242,1.3002602831503085,3.062575622248552,0.22865251166439457,0.009649459074773947
plan,premium,690,66,0.09565217391304348,False,0.12048462548469524,0.5370135713456053,0.5430183242683242,0.8472465034965034,1.259611993703632,5.614232791340419,0.4165289458609101,0.0057820988049287385
plan,standard,1713,129,0.07530647985989491,False,0.0992334620589817,0.4540311819201192,0.591205987523817,0.803570263357085,1.3177280659460129,6.029111741311351,0.3547977198611375,0.004737171958091088
tenure_bucket,long (365d+),3580,361,0.10083798882681565,False,0.13763653468318707,0.423161195045431,0.5911977504297687,0.7975716666135999,1.3649274076615228,4.196446200173526,0.2855246603622439,0.010375682005690756
tenure_bucket,mid (90-365d),992,115,0.1159274193548387,False,0.197851394925888,0.46788828919903613,0.6540115347115496,0.8110686959826814,1.706683337099834,4.036045068569077,0.27003689427314814,0.0027322614910111342
tenure_bucket,new (<90d),228,30,0.13157894736842105,False,0.16615158264445873,0.400785304898479,0.5525252525252525,0.7243546576879911,1.2627520280978863,3.0459683172284406,0.2346337222540203,0.013609698677026707
